@relation 'MARSYAS_EMPTYdrum_features.arff-weka.filters.unsupervised.attribute.Remove-R121-124-weka.filters.unsupervised.attribute.Remove-R118,120-weka.filters.unsupervised.attribute.Remove-R115-117-weka.filters.unsupervised.attribute.Remove-R110-112-weka.filters.unsupervised.attribute.Remove-R106-107,109-weka.filters.unsupervised.attribute.Remove-R96-104-weka.filters.unsupervised.attribute.Remove-R90-92-weka.filters.unsupervised.attribute.Remove-R86-89-weka.filters.unsupervised.attribute.Remove-R77-84-weka.filters.unsupervised.attribute.Remove-R37-73-weka.filters.unsupervised.attribute.Remove-R1-4,6-7,9-10,13,15-24,28-32,34-35,37,43'

@attribute Mean_Acc5_Mean_Mem20_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Mean_Mem20_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Mean_Mem20_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Mean_Mem20_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Mean_Mem20_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_E_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_F_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_F#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Std_Mem20_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Std_Mem20_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Std_Acc5_Mean_Mem20_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Std_Acc5_Mean_Mem20_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Std_Acc5_Mean_Mem20_PeakRatio_Chroma_D_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Std_Acc5_Mean_Mem20_PeakRatio_Minimum_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Std_Acc5_Std_Mem20_ZeroCrossings_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Std_Acc5_Std_Mem20_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Std_Acc5_Std_Mem20_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Std_Acc5_Std_Mem20_PeakRatio_Chroma_B_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Std_Acc5_Std_Mem20_PeakRatio_Chroma_C_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Std_Acc5_Std_Mem20_PeakRatio_Chroma_F_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute output {0,1,2}

@data
-72.386297,0.797876,0.184709,0.259311,-0.159352,0.000112,0.000104,0.000094,0.03372,15.46,0.041226,0.360193,0.00007,0.194195,0.02153,0.172964,0.134704,0.000208,0.000228,0.000171,0
-73.109487,1.270285,0.250702,0.154165,0.228599,0.000115,0.000115,0.000111,0.032027,14.83485,0.156239,0.136764,0.000061,0.213979,0.020621,0.168739,0.147072,0.0002,0.000227,0.000206,0
-75.104139,0.561868,0.419203,-0.109118,0.457621,0.000109,0.000105,0.000099,0.024858,16.143482,0.313812,0.26792,0.000063,0.27131,0.019227,0.195369,0.094619,0.000179,0.000194,0.000168,0
-73.360018,0.543277,0.168269,0.234852,0.036482,0.000172,0.000145,0.000126,0.006974,14.72756,0.19834,0.282607,0.000122,0.741416,0.006841,0.175744,0.205478,0.000267,0.000299,0.000199,0
-76.025552,0.619743,0.24121,0.528239,0.618164,0.000193,0.000163,0.000144,0.034124,14.983689,0.151041,0.233836,0.000141,0.1778,0.009981,0.129327,0.160812,0.000362,0.000399,0.000215,0
-73.330652,1.14554,0.442923,0.249418,0.371747,0.000186,0.000158,0.000141,0.02582,13.686646,0.172032,0.185348,0.000133,0.421498,0.009578,0.110808,0.241442,0.000298,0.000336,0.00021,0
-72.86577,0.173358,0.419425,0.70582,0.012671,0.000153,0.000132,0.00012,0.016205,15.400567,0.07626,0.306418,0.000111,0.53818,0.01684,0.122682,0.145724,0.00034,0.000373,0.000212,0
-73.671438,0.279233,0.450779,0.397018,0.237765,0.000124,0.000111,0.000095,0.032194,15.138128,0.098914,0.263443,0.000075,0.85861,0.016132,0.10087,0.164402,0.000184,0.000196,0.000136,0
-71.874954,0.383009,-0.128743,0.172077,-0.454375,0.000128,0.000108,0.0001,0.015043,14.972516,0.328964,0.240144,0.0001,1.236471,0.014072,0.179519,0.168514,0.000332,0.000359,0.000196,0
-71.875904,0.853426,0.316758,0.518099,0.330356,0.00013,0.000124,0.000114,0.038205,15.001512,0.098098,0.109919,0.000075,0.219361,0.021117,0.169354,0.142751,0.000218,0.000237,0.000196,0
-72.879392,1.123938,0.853465,0.068792,0.295626,0.000117,0.000116,0.000113,0.032423,14.570762,0.111332,0.117506,0.000062,0.198979,0.01959,0.190302,0.090964,0.000202,0.00023,0.000207,0
-75.385897,0.45112,0.749242,0.422547,0.047654,0.000115,0.000113,0.000108,0.027489,16.287968,0.170452,0.05505,0.000063,0.230513,0.020763,0.10697,0.150076,0.000192,0.000206,0.000189,0
-75.450764,0.591054,0.308193,0.322154,0.023427,0.000149,0.000125,0.000109,0.039569,15.237577,0.115011,0.107021,0.000107,0.456451,0.009639,0.108794,0.159303,0.000272,0.000302,0.000171,0
-75.525469,0.846879,0.416679,0.452364,0.481912,0.000214,0.000182,0.00016,0.047783,14.608606,0.272742,0.050892,0.000155,0.256678,0.012039,0.121108,0.107795,0.000402,0.000445,0.000246,0
-73.042962,0.740524,0.290879,-0.063742,0.273555,0.000179,0.000151,0.000132,0.040205,13.789173,0.148269,0.225696,0.000126,0.381362,0.008933,0.126751,0.178024,0.000263,0.000294,0.000179,0
-74.504916,0.78224,0.129864,0.10528,0.262287,0.000114,0.000097,0.000081,0.031643,15.250542,0.319373,0.035036,0.000084,0.60685,0.016376,0.162116,0.168638,0.00029,0.000308,0.000132,0
-74.899459,0.442073,0.075827,0.442107,-0.105212,0.0001,0.000087,0.000075,0.108744,15.338417,0.277737,0.26343,0.000071,0.394835,0.016767,0.126231,0.130109,0.000241,0.000256,0.000121,0
